1,chocolate chip bread,1  c. Crisco2  c. sugar4  eggs1  tsp. banana flavoring1/2  tsp. cherry flavoring2  c. mashed bananas4  c. flour2  tsp. soda  pinch of salt1/2  c. chopped maraschino cherries1/2  c. chocolate chips1/2  c. chopped walnuts,Cream Crisco and sugar; add eggs and flavorings.  Beat well. Add mashed bananas.  Gradually add flour and dry ingredients. Remove beaters and stir in cherries  chocolate chips and nuts. Pour in 2 greased loaf pans.  Bake at 350° for 1 1/2 hours.
2,chocolate cream cheese frosting,1 (3 oz.)  pkg. cream cheese1 (1 oz.)  square unsweetened chocolate or melted2  c. confectioners sugar  pinch of salt1/2  tsp. vanilla2 to 4  Tbsp. cream,Work cream cheese with a spoon until very soft.  Blend in the cooled melted chocolate and gradually add the sugar  beating until smooth after each addition.  Add salt and vanilla and stir in enough cream to give a smooth spreading consistency.  Spread on cooled cake.  Makes enough for two 8-inch cake layers.
3,chocolate cinnamon raisin bread,1/2  stick butter2/3  c. sugar1  egg2  c. sifted cake flour1  tsp. baking soda1/3  c. cocoa1  tsp. cinnamon1  c. buttermilk1  c. raisins3/4  c. chopped nuts,Cream butter and sugar until light.  Beat in egg.  Sift dry ingredients together; add to creamed mixture alternately with buttermilk.  Stir in raisins and nuts.  Turn into a greased 9-inch loaf pan.  Bake at 350° for 1 hour.
4,chocolate turtles,1  c. pecan halves36  Kraft caramels4  oz. semi-sweet chocolate chips,Place 3 pecan halves on a buttered aluminum foil-lined cookie sheet.  Put a caramel on each group of pecans.  Put in a 350° oven for 10 minutes.  Remove from oven; flatten the caramels with a lightly buttered spoon.  Cover with melted chocolate (melt in double boiler) and place in refrigerator until hard.  These are delicious!!
5,cherry thumbprint cookies,1  tsp. vanilla2  sticks margarine2  egg yolks1/2  c. brown sugar2  c. flour1/2  tsp. salt  maraschino cherries,Mix first 6 ingredients and roll dough into small balls (about 3 dozen)  then put thumbprint into center of ball.  Put cherry into thumbprint.  Bake at 350° for 8 to 10 minutes.
6,lemon cream cheese cookies,1 (8 oz.)  pkg. cream cheese or softened1/4  c. butter or margarine or softened1  pkg. Betty Crocker SuperMoist lemon cake mix1  egg1/4  tsp. vanilla1/2  c. flaked coconut or chopped nuts (optional),Heat oven to 375°.  Beat cream cheese and butter until light and fluffy.  Mix in about half of the cake mix  egg and vanilla until smooth.  Stir in remaining cake mix and the coconut or nuts. Drop by teaspoonfuls about 2-inches apart on ungreased cookie sheet.  Bake 10 to 12 minutes.  Cool slightly; remove from cookie sheet.  Makes about 5 dozen cookies.
7,coconut cookies,2  eggs3/4  c. sugar1/3  c. flour1/4  tsp. baking powder1/8  tsp. salt1  tsp. vanilla1/2  tsp. grated lemon rind1  c. dates or pecans2 2/3  c. coconut1  Tbsp. butter or melted,Beat eggs; add sugar slowly while beating.  Add remaining ingredients  adding melted butter last.  Drop by teaspoon onto greased and floured baking sheet.  Bake about 15 minutes in a 325° oven.
8,new orleans bars,2  sticks butter or oleo1  c. sugar2  c. flour1 or 2  tsp. cinnamon1  egg or separated1 1/2  c. chopped pecans,Cream butter  egg yolk and sugar.  Add cinnamon to flour; add to creamed mixture  beating well.  Press half of dough on 15 x 11-inch cookie sheet as thin as possible.  Brush with unbeaten egg white; sprinkle with pecans.  Repeat with remaining dough.  Bake at 325° for 10 to 15 minutes or until golden brown.  Cut in squares while hot.
9,chocolate cream truffles,1 (11 1/2 oz.)  pkg. (2 c.)  Nestle milk chocolate morsels1/4  c. sour cream2 measuring  Tbsp. almond flavored liqueur2/3  c. finely chopped toasted almonds,Melt over hot  not boiling  water the Nestle milk chocolate morsels.  Stir until smooth.  Remove from heat.  Blend in sour cream.  Add almond flavored liqueur; mix well.  Transfer to small bowl.  Chill until firm.  Drop by rounded teaspoonfuls onto waxed paper-lined cookie sheets.  Shape into balls.  Roll in almonds until evenly coated.  Chill until firm.  Makes about 2 1/2 dozen truffles.
10,chocolate malted milk,2  c. cold milk1/4  c. chocolate syrup1/4  c. malted milk powder4  scoops chocolate or vanilla ice cream,Pour milk  chocolate syrup and malted milk powder into blender container.  Cover and blend until frothy  about 15 seconds.  Add the ice cream while motor is running.  Blend only until mixed. Yields about 3 cups.
